dealership_id,name,city,state,phone
D0001,"Martinez, Jones and Alvarez",Port Susan,Washington,701.385.7314
D0002,Obrien and Sons,Cookton,North Carolina,+1-399-364-2636
D0003,"Robertson, Willis and Houston",Jonathanmouth,Maryland,001-589-481-9218
D0004,"Willis, Salazar and Sanchez",South Tammybury,South Carolina,001-514-249-0866x66810
D0005,Cook-Murphy,Ballshire,California,664.791.3190x014
D0006,Martin Group,Michelefurt,Connecticut,(370)331-5298x1138
D0007,"Mitchell, Bailey and Vargas",Port Joseph,Washington,735.417.6853x00690
D0008,"Thornton, Thomas and Kennedy",Herreraton,Washington,526.572.0978x16510
D0009,"Harris, Jacobs and Kaiser",Wyattside,Michigan,821-840-0964x479
D0010,"Kirk, Hill and Webster",East Christinahaven,Georgia,965-830-5248
D0011,Fuentes-Martinez,South Noahtown,Colorado,492-572-0674
D0012,Miller Group,West Karina,Massachusetts,(955)787-3572x86681
D0013,Woods-Avila,Benjaminfurt,South Carolina,+1-630-936-5246x36264
D0014,Thomas LLC,Rosestad,West Virginia,673-995-4576
D0015,"Coffey, Martinez and Nguyen",Jacquelineborough,Ohio,+1-307-640-3971x93347
D0016,Hutchinson Ltd,North Brianna,Pennsylvania,+1-571-930-1438x49678
D0017,"Adkins, Fields and Willis",East Kenneth,Michigan,001-951-330-7869x058
D0018,"Mcknight, Li and Valenzuela",Lake Teresaburgh,New Jersey,+1-829-365-6220
D0019,Curry-Wong,Waltersmouth,Nebraska,+1-734-784-4794x66221
D0020,Moran Group,Cantuberg,Mississippi,001-477-912-1208x072
